ts0,ts1,buspower,0x01,0x02,0x03,0x04,0x05,0x06,0x07,0x08,0x09,0x0A
1647200000.0,24220,2.009,0.032,0.032,0.103,0.855,0.013,0,0.08,0.009,0.018,0.009
1647200000.0,24320,2.232,0.032,0.032,0.103,0.854,0.013,0,0.074,0.009,0.019,0.006
1647200000.0,24380,2.093,0.032,0.032,0.103,0.855,0.013,0,0.074,0.009,0.024,0.006
1647200000.0,24475,1.985,0.032,0.032,0.103,3.241,0.013,0,0.051,0.009,0.024,0.009
1647200000.0,24543,1.993,0.032,0.032,0.103,0.837,0.013,0,0.074,0.009,0.022,0.009
1647200000.0,24602,2.036,0.021,0.032,0.103,0.837,0.013,0,0.074,0.009,0.024,0.009
1647200000.0,24666,2.286,0.032,0.032,0.103,0.838,0.013,0,0.078,0.009,0.025,0.009
1647200000.0,25767,2.294,0.032,0.032,0.103,0.871,0.013,0,0.078,0.009,0.022,0.009
1647200000.0,25825,3.654,0.032,0.032,0.103,0.853,0.013,0,0.076,0.009,0.021,0.009
1647200000.0,25957,4.811,0.032,0.032,0.103,0.853,0.013,0,0.076,0.009,0.022,0.009
1647200000.0,26026,2.112,0.032,0.032,0.103,0.838,0.013,0,0.076,0.009,0.021,0.009
1647200000.0,74209,1.602,0,0,0,0.839,0,0,0.047,0.002,0.024,0
1647200000.0,74260,1.597,0,0,0,0.873,0,0,0.025,0.002,0.019,0
1647200000.0,74318,0.717,0,0,0,0,0,0,0,0.002,0.024,0
1647200000.0,74365,0.717,0,0,0,0,0,0,0,0.002,0.019,0
1647200000.0,74413,0.717,0,0,0,0,0,0,0,0.002,0.018,0
1647200000.0,74460,0.761,0,0,0,0,0,0,0,0.002,0.021,0
1647200000.0,74506,0.857,0,0,0,0,0,0,0,0.002,0.022,0
1647200000.0,74554,0.814,0,0,0,0,0,0,0,0.002,0.018,0
1647200000.0,74601,0.726,0,0,0,0,0,0,0,0.002,0.027,0
1647200000.0,74695,1.636,0,0,0,0.77,0,0,0.047,0.002,0.018,0
1647200000.0,74747,1.683,0,0,0,0.786,0,0,0.042,0.002,0.021,0
1647200000.0,74810,0.802,0,0,0,0,0,0,0,0.002,0.024,0
1647200000.0,74857,0.726,0,0,0,0,0,0,0,0.002,0.021,0
1647300000.0,8638,1.1649708052566667,0,0,0.103,0,0,0,0,0.009,0.018,0
1647300000.0,8795,0.7137371472706667,0,0,0.103,0,0,0,0,0.009,0.021,0
1647300000.0,8988,1.0052332183085557,0,0,0.103,0,0,0,0,0.009,0.021,0
1647300000.0,11956,0.953,0,0,0.103,0,0,0,0,0.009,0.018,0
