ts0,ts1,latitude,longitude,altitude,signal
1647400000.0,34854,0,0,0,0
1647400000.0,34921,0,0,0,0
1647400000.0,35005,0,0,0,0
1647400000.0,35078,0,0,0,0
1647400000.0,35150,0,0,0,0
1647400000.0,35250,0,0,0,0
1647400000.0,35335,0,0,0,0
1647400000.0,35412,0,0,0,0
1647400000.0,35518,0,0,0,0
1647400000.0,35654,0,0,0,0
1647400000.0,35732,0,0,0,3
1647400000.0,35829,38.597888979517194,-77.18144367431721,6366.906941364857,1
1647400000.0,35914,0,0,0,0
1647400000.0,35994,0,0,0,0
1647400000.0,36085,0,0,0,0
1647400000.0,36174,38.626010385983115,-77.18144367431721,6369.403111752309,0
1647400000.0,36253,38.597888979517194,-77.18144367431721,6366.906941364857,2
1647400000.0,36333,38.597888979517194,-77.18144367431721,6366.906941364857,0
1647400000.0,36418,0,0,0,0
1647400000.0,36510,0,0,0,0
1647400000.0,36611,0,0,0,0
1647400000.0,36753,38.597888979517194,-77.18144367431721,6366.906941364857,2
1647400000.0,36846,38.597888979517194,-77.18144367431721,6366.906941364857,4
1647400000.0,36918,38.59289873106546,-77.13654199232593,6367.6017463406115,0
1647400000.0,36993,0,0,0,0
1647400000.0,37080,0,0,0,0
1647400000.0,37192,38.60286315052546,-77.22636137531896,6366.214573826427,5
1647400000.0,37258,38.60286315052546,-77.22636137531896,6366.214573826427,5
1647400000.0,37325,38.597888979517194,-77.18144367431721,6366.906941364857,4
1647400000.0,37408,38.597888979517194,-77.18144367431721,6366.906941364857,3
1647400000.0,37496,0,0,0,1
1647400000.0,37579,0,0,0,0
1647400000.0,37662,0,0,0,0
1647400000.0,37744,0,0,0,0
1647400000.0,37817,38.597888979517194,-77.18144367431721,6366.906941364857,5
1647400000.0,37921,38.597888979517194,-77.18144367431721,6366.906941364857,5
1647400000.0,38002,38.597888979517194,-77.18144367431721,6366.906941364857,0
1647400000.0,38067,38.64792176210428,-77.17121712854458,6366.356571854894,0
1647400000.0,38138,0,0,0,0
1647400000.0,38223,0,0,0,0
1647400000.0,38301,0,0,0,3
1647400000.0,38387,38.597888979517194,-77.18144367431721,6366.906941364857,5
1647400000.0,38458,38.597888979517194,-77.18144367431721,6366.906941364857,2
1647400000.0,38524,38.597888979517194,-77.18144367431721,6366.906941364857,1
1647400000.0,38632,0,0,0,0
1647400000.0,38719,0,0,0,0
1647400000.0,38795,0,0,0,0
1647400000.0,38911,38.597888979517194,-77.18144367431721,6366.906941364857,5
1647400000.0,38977,38.597888979517194,-77.18144367431721,6366.906941364857,5
1647400000.0,39056,38.597888979517194,-77.18144367431721,6366.906941364857,0
1647400000.0,39128,38.64292170622883,-77.12628206301284,6367.051436889763,4
1647400000.0,39211,0,0,0,0
1647400000.0,39294,0,0,0,0
1647400000.0,39394,38.597888979517194,-77.18144367431721,6366.906941364857,5
1647400000.0,39509,38.597888979517194,-77.18144367431721,6366.906941364857,5
1647400000.0,39594,38.597888979517194,-77.18144367431721,6366.906941364857,2
1647400000.0,39661,38.64292170622883,-77.12628206301284,6367.051436889763,2
1647400000.0,39730,38.64792176210428,-77.17121712854458,6366.356571854894,0
1647400000.0,39839,0,0,0,0
1647400000.0,39917,38.597888979517194,-77.18144367431721,6366.906941364857,0
1647400000.0,39987,38.597888979517194,-77.18144367431721,6366.906941364857,5
1647400000.0,40064,38.597888979517194,-77.18144367431721,6366.906941364857,2
1647400000.0,40155,38.65981956913258,-77.0710536752394,6364.703920843451,4
1647400000.0,40231,38.64292170622883,-77.12628206301284,6367.051436889763,4
1647400000.0,40313,38.63790556309633,-77.08136310021153,6367.748738761604,5
1647400000.0,40398,38.597888979517194,-77.18144367431721,6366.906941364857,5
1647400000.0,40490,38.597888979517194,-77.18144367431721,6366.906941364857,4
1647400000.0,40574,38.597888979517194,-77.18144367431721,6366.906941364857,0
1647400000.0,40656,0,0,0,0
1647400000.0,40746,0,0,0,1
1647400000.0,40824,38.654778593101874,-77.02611750615779,6365.403993463416,3
1647400000.0,40901,38.64792176210428,-77.17121712854458,6366.356571854894,4
1647400000.0,40969,38.64792176210428,-77.17121712854458,6366.356571854894,0
1647400000.0,41041,38.64792176210428,-77.17121712854458,6366.356571854894,4
1647400000.0,41132,0,0,0,0
1647400000.0,41211,0,0,0,0
1647400000.0,41289,0,0,0,5
1647400000.0,41375,0,0,0,3
1647400000.0,41445,0,0,0,5
1647400000.0,41551,0,0,0,3
1647400000.0,41637,0,0,0,0
1647400000.0,41720,0,0,0,0
1647400000.0,41805,0,0,0,4
1647400000.0,41888,38.64088789374587,-77.31624464756969,6367.334136041551,5
1647400000.0,41982,38.657873531330566,-77.26113538110374,6364.974155485629,5
1647400000.0,42085,0,0,0,1
1647400000.0,42183,0,0,0,0
1647400000.0,42280,0,0,0,0
1647400000.0,42360,38.68597993606912,-77.26113538110374,6367.473596333164,2
1647400000.0,42461,38.635944839819274,-77.27129504866308,6368.021356748107,0
